Date,Nestle_PS,Novartis_N,Roche_Holding,UBS_N
30.06.88,4.103,NA,11.166,NA
29.07.88,4.006,NA,11.329,NA
31.08.88,4.123,NA,11.119,NA
30.09.88,4.133,NA,11.935,NA
31.10.88,4.264,NA,11.842,NA
30.11.88,5.829,NA,11.655,NA
30.12.88,6.521,NA,11.795,NA
31.01.89,6.618,NA,12.844,NA
28.02.89,6.233,NA,12.727,NA
31.03.89,6.452,NA,13.753,NA
28.04.89,6.56,NA,15.152,NA
31.05.89,6.209,NA,15.105,NA
30.06.89,7.26,NA,15.781,NA
31.07.89,8.002,NA,17.879,NA
31.08.89,8.338,NA,20.031,NA
29.09.89,8.279,NA,18.043,NA
31.10.89,7.997,NA,16.66,NA
30.11.89,8.338,NA,17.897,NA
29.12.89,8.586,NA,17.412,NA
31.01.90,8.388,NA,17.412,NA
28.02.90,8.477,NA,17.897,NA
30.03.90,8.457,NA,17.412,NA
30.04.90,7.888,NA,17.169,NA
31.05.90,8.63,NA,19.837,NA
29.06.90,8.284,NA,21.195,NA
31.07.90,8.19,NA,20.177,NA
31.08.90,7.419,NA,17.558,NA
28.09.90,6.568,NA,15.763,NA
31.10.90,7.359,NA,18.043,NA
30.11.90,6.924,NA,17.897,NA
31.12.90,6.914,NA,18.285,NA
31.01.91,6.993,NA,18.334,NA
28.02.91,7.597,NA,19.886,NA
29.03.91,8.21,NA,21.147,NA
30.04.91,8.299,NA,22.068,NA
31.05.91,8.704,NA,23.62,NA
28.06.91,8.309,NA,22.893,NA
31.07.91,8.516,NA,23.96,NA
30.08.91,8.329,NA,24.493,NA
30.09.91,7.913,NA,23.863,NA
31.10.91,8.22,NA,25.851,NA
29.11.91,8.061,NA,25.491,NA
31.12.91,8.507,NA,25.297,NA
31.01.92,8.952,NA,25.879,NA
28.02.92,9.288,NA,28.205,NA
31.03.92,9.367,NA,29.756,NA
30.04.92,9.703,NA,30.628,NA
29.05.92,9.684,NA,32.761,NA
30.06.92,9.624,NA,32.567,NA
31.07.92,9.219,NA,31.598,NA
31.08.92,9.041,NA,32.082,NA
30.09.92,9.773,NA,34.796,NA
30.10.92,10.139,NA,35.668,NA
30.11.92,10.534,NA,37.801,NA
31.12.92,11.474,NA,40.418,NA
29.01.93,10.633,NA,39.739,NA
26.02.93,10.88,NA,38.285,NA
31.03.93,11.771,NA,40.418,NA
30.04.93,10.584,NA,41.581,NA
31.05.93,11.128,NA,45.749,NA
30.06.93,11.41,NA,48.414,NA
