Nestle_PS,Novartis_N,Roche_Holding,UBS_N
9375.67,NA,7304.75,NA
9152.96,NA,7411.5,NA
9420.21,NA,7274.25,NA
9442.48,NA,7808,NA
9743.12,NA,7747,NA
13317.46,NA,7625,NA
14898.63,NA,7716.5,NA
15121.33,NA,8402.75,NA
14241.66,NA,8326.5,NA
14742.73,NA,8997.5,NA
14987.71,NA,9912.5,NA
14185.99,NA,9882,NA
17160.92,NA,10391.95,NA
18914.42,NA,11773.45,NA
19709.34,NA,13752.9,NA
19569.06,NA,12387.6,NA
18902.73,NA,11438.55,NA
19709.34,NA,12287.7,NA
20293.84,NA,11954.7,NA
19826.24,NA,11954.7,NA
20036.66,NA,12287.7,NA
19989.89,NA,11954.7,NA
18645.55,NA,11788.2,NA
20399.05,NA,13619.7,NA
19580.75,NA,14552.1,NA
19358.64,NA,13852.8,NA
17535,NA,12054.6,NA
15524.32,NA,10822.5,NA
17394.71,NA,12387.6,NA
16366,NA,12287.7,NA
16342.62,NA,12554.1,NA
16529.66,NA,12587.4,NA
17955.84,NA,13653,NA
19405.4,NA,14518.8,NA
19649.38,NA,15151.5,NA
20609.6,NA,16217.1,NA
19672.8,NA,15717.6,NA
20164.62,NA,16450.2,NA
19719.64,NA,16816.5,NA
18736,NA,16383.6,NA
19462.02,NA,17748.9,NA
19087.3,NA,17933.97,NA
20141.2,NA,17797.59,NA
21195.09,NA,18206.73,NA
21991.38,NA,19843.29,NA
22178.74,NA,20934.33,NA
22975.02,NA,21548.04,NA
22928.18,NA,23048.21,NA
22787.66,NA,22911.84,NA
21827.44,NA,22229.94,NA
21405.88,NA,22570.89,NA
23138.96,NA,24480.21,NA
24005.5,NA,25093.92,NA
24942.3,NA,27401.39,NA
27167.2,NA,29298.42,NA
25176.5,NA,28806.6,NA
25762,NA,27752.7,NA
27869.8,NA,29298.42,NA
25059.4,NA,30141.54,NA
26347.5,NA,33162.71,NA
27791.09,NA,35094.87,NA
25550.27,NA,35481.3,NA
26914.25,NA,36254.16,NA
26548.9,NA,37413.45,NA
28911.51,NA,40399.5,NA
28229.52,NA,42261.39,NA
31249.76,NA,44334.04,NA
34732.78,NA,50165.64,NA
31249.76,NA,49181.98,NA
28887.15,NA,49252.23,NA
28570.51,NA,47214.71,NA
27937.23,NA,47144.43,NA
27352.67,NA,44896.13,NA
28570.51,NA,37378.32,6625.2
29885.78,NA,42858.6,6890.2
28473.08,NA,40645.41,6691.45
28594.87,NA,39240.21,5896.43
30007.56,NA,41031.84,5675.59
30372.91,NA,44509.67,5521
45829.08,NA,44825.84,5278.07
46649.55,NA,48092.94,5454.74
43172.33,NA,45950.03,5430.95
43719.31,NA,48374,5430.95
46024.46,NA,50481.8,5519.25
46844.93,NA,52132.9,5607.56
45868.15,NA,55048.68,5408.87
47626.32,NA,56699.78,5188.1
46219.79,NA,57332.12,5541.33
46493.29,NA,57964.46,5740.02
48954.7,NA,62390.84,5784.18
49853.32,NA,64112.23,5784.18
50264.31,NA,62250.35,5982.87
51722.93,NA,65482.3,6071.18
52905.66,NA,69416.88,6623.11
54443.13,NA,68608.81,5960.79
55586.41,NA,67449.56,5585.48
56335.44,NA,67063.13,5850.41
53891.23,NA,62039.57,5375.75
55389.3,NA,64252.76,5348.16
55113.32,NA,64885.1,5370.23
54127.74,NA,67168.5,5386.79
55783.5,NA,70400.44,5508.22
56650.83,98193.19,73175.75,5199.14
60869.1,104342.3,87789.81,5254.33
63313.3,107993.3,87227.75,5938.71
66427.69,114398.6,87438.5,5728.98
70567.13,124390.9,87473.63,6192.61
69384.44,122981.7,88387,6843.88
75928.63,149499.7,92778.25,7373.73
75652.69,155456.6,102755.2,7406.84
68201.75,135023.7,88176.25,6512.72
79870.94,142838.1,90635.38,7506.19
77781.56,140468.2,86454.88,7130.88
82709.38,145912.7,89651.69,7980.84
86296.94,151805.6,101912.1,9294.43
92841.13,162054,107778.8,9261.31
101317.1,171469.8,120706.6,10056.09
114839.1,172814.9,115928.9,10983.32
114720.9,158851.4,106830.3,10630.09
125089.1,160644.9,107041.1,10994.36
127967,161669.7,104652.3,120908.1
122053.6,161029.2,112767.3,138701.3
105732.4,144055.1,105144.1,100113.6
108570.9,142133.6,104687.3,58037.49
113538.2,156289.3,111010.8,79855.25
114326.7,167818.8,115226.4,90280.5
117874.8,172943.1,117755.7,90710.44
102302.6,170124.7,129910.7,98663.75
107821.9,162822.7,128927.1,96944.13
106008.4,153791.2,126819.3,99963.81
111291.1,143030.3,126046.4,111357.5
109714.1,163290.9,115577.7,96739.13
110423.8,163723.7,112275.4,99748.81
115588.2,155357.2,115858.7,97706.5
117874.8,157232.4,123095.4,91902.19
111172.8,160550.2,122006.4,90934.81
115903.6,164444.9,128575.8,95341.81
112828.6,178797.8,134899.1,93514.5
114996.9,168628.2,132791.4,92439.63
106678.6,146341.6,125062.8,82765.69
110896.8,153193.4,126327.4,87172.75
117480.5,164012.2,126889.5,93944.5
119845.9,172955.7,126046.4,90719.81
126942,179591.2,125062.8,97921.5
128716.1,186370.9,111572.8,102758.5
137073.7,185866.1,110167.6,103403.4
147993.9,189977.2,109605.5,108992.8
141922.8,191131.2,106795.1,98888.94
146850.6,196684.8,115366.9,107058
148624.6,203103.9,120847.2,106294.3
149018.9,206638.1,115999.3,117145.1
137389.1,200868.1,106022.3,128438.9
144485.3,204113.7,101174.4,117809.4
142592.9,195386.6,87824.94,110501.7
141607.4,194448.9,87543.88,116923.6
146417,196915.2,95197.25,118695.2
150595.8,187682.4,90981.81,114044.9
145865,173400.8,92387,101470.2
138768.9,175564.6,83956.19,105420.2
136009.3,182633.4,81497.25,97908.69
134233.4,176430.2,79565.19,97257.38
134431.4,166764.7,82726.69,104684.6
140172.9,173112.2,83253.69,107309.7
146904.4,169217.2,79916.5,99242.25
149082.3,186816.9,84131.88,100971
148092.3,190856.2,91860.06,106029.1
151656.1,196049.6,86239.5,100010.6
150666.1,194174.2,88347.25,104940.7
137401.2,188836.6,79038.25,95848.81
126116.1,174122,74120.31,83619.5
127501.9,175708.9,75701.13,90534.5
127501.9,168063.1,70010.31,78497.38
125324.1,158999.5,73417.75,88259.63
118790.6,155892.9,74120.31,93779.81
116018.8,142478.3,67691.88,84307.75
112455.1,141207.4,65935.44,74082.88
108099.5,140642.5,57223.74,71385.56
105921.6,141348.6,56837.32,72138.31
109485.4,145313.9,60631.16,80833.63
108099.5,138659.4,69764.44,88182.13
110673.3,145585.5,74647.25,94651.25
108495.4,143820.1,80443.38,100994.9
120770.5,139881.6,75349.81,94902.5
120572.5,138795.2,76930.56,93081.06
118634.8,137144.9,77633.13,96952.19
121257.7,147114.2,81848.56,98430.06
124687.6,151290.5,87644.69,100144.4
133968.6,152637.7,89576.69,106706.5
135179.1,150751.6,92035.69,110312.6
130336.9,144958.6,86942.13,111258.5
132354.5,155736.3,95548.5,109082.8
131547.5,151425.3,92738.25,106419.3
134775.6,148865.6,87117.75,104466.1
131951,154254.4,88874.19,101329.3
120854.2,157757.1,86239.5,100500.6
115406.6,156814,90630.56,104051.9
114297,152465,85993.63,97128.19
118029.6,145789.7,84307.5,103655.9
120047.1,152999.1,91965.44,107313.7
125898.2,152198,88944.38,108551.7
130135.1,155535.7,86063.88,113560.1
132051.9,148993.9,90068.5,113837.1
126301.8,154601.1,100888,107299.9
132556.3,162745.1,110583.3,108483.3
132354.5,163012.1,113955.6,112709.9
142644.3,167417.8,123088.9,119359.8
