Date,Nestle_PS,Novartis_N,UBS_N,Roche_Holding
31.12.96,14.37,35.047,16.912,100.948
31.01.97,15.44,37.242,17.092,121.108
28.02.97,16.06,40.84,19.318,120.333
31.03.97,16.85,43.262,18.635,120.624
30.04.97,17.9,47.041,20.144,120.672
30.05.97,17.6,46.508,22.262,121.932
30.06.97,19.26,56.537,23.986,127.99
31.07.97,19.19,58.789,24.093,141.753
29.08.97,17.3,51.062,21.185,121.641
30.09.97,20.26,54.017,24.416,125.034
31.10.97,19.73,53.121,23.196,119.267
28.11.97,20.98,55.18,25.96,123.677
31.12.97,21.89,57.409,30.233,140.59
30.01.98,23.55,61.284,30.126,148.683
27.02.98,25.7,64.845,32.711,166.518
31.03.98,29.13,65.354,35.727,159.927
30.04.98,29.1,60.073,34.578,147.375
29.05.98,31.73,60.751,35.763,147.666
30.06.98,32.46,61.139,40.503,144.37
31.07.98,30.96,60.897,46.463,155.565
31.08.98,26.82,54.478,33.537,145.049
30.09.98,27.54,53.751,19.39,144.419
30.10.98,28.8,59.104,26.679,153.142
30.11.98,29,63.464,30.162,158.957
31.12.98,29.9,65.402,30.305,162.447
29.01.99,25.95,64.336,32.962,179.215
26.02.99,27.35,61.575,32.388,177.858
31.03.99,26.89,58.159,33.393,174.95
30.04.99,28.23,54.09,37.199,173.884
31.05.99,27.83,54.841,32.316,159.442
30.06.99,28.01,54.986,33.321,154.887
30.07.99,29.32,52.176,32.639,159.83
31.08.99,29.9,52.806,30.7,169.813
30.09.99,28.2,53.92,30.377,168.311
29.10.99,29.4,55.229,31.849,177.373
30.11.99,28.62,60.049,31.239,186.097
31.12.99,29.17,56.633,30.88,183.189
31.01.00,27.06,49.149,27.648,172.527
29.02.00,28.13,51.45,29.12,174.272
31.03.00,29.8,55.083,31.382,175.047
28.04.00,30.4,58.087,30.305,173.884
31.05.00,32.2,60.315,32.711,172.527
30.06.00,32.65,62.592,34.327,158.8
31.07.00,34.77,62.423,34.542,156.8
31.08.00,37.54,63.803,36.409,156
29.09.00,36,64.191,33.034,152
31.10.00,37.25,66.056,35.763,164.2
30.11.00,37.7,70.4,34.47,172
29.12.00,37.8,71.625,37.989,165.1
31.01.01,34.85,69.625,41.652,150.9
28.02.01,36.65,70.75,38.205,144
30.03.01,36.17,67.725,35.835,125
30.04.01,35.92,67.4,37.917,124.6
31.05.01,37.14,68.25,38.492,135.5
29.06.01,38.2,65.05,36.984,129.5
31.07.01,37,60.1,33.76,131.5
31.08.01,35.2,60.85,35.074,119.5
28.09.01,34.5,63.3,32.575,116
31.10.01,33.9,61.15,32.726,113.25
30.11.01,33.95,57.8,35.225,117.75
31.12.01,35.4,60,36.108,118.5
31.01.02,37.1,58.65,33.393,113.75
28.02.02,37.65,64.75,33.975,119.75
29.03.02,37.4,66.15,35.677,130.75
30.04.02,38.3,67.95,33.652,122.75
31.05.02,38.05,67.3,35.311,125.75
28.06.02,34.7,65.45,32.252,112.5
31.07.02,31.85,60.35,28.906,105.5
30.08.02,32.2,60.9,31.296,107.75
30.09.02,32.2,58.25,27.135,99.65
31.10.02,31.65,56.3,31.141,104.5
29.11.02,30,55.2,33.089,105.5
31.12.02,29.3,50.45,29.747,96.35
31.01.03,28.4,50,26.139,93.85
28.02.03,27.3,49.8,25.187,81.45
31.03.03,26.75,50.05,25.453,80.9
30.04.03,27.65,53.5,28.485,86.3
30.05.03,27.3,51.05,31.075,99.3
30.06.03,27.95,53.6,33.354,106.25
31.07.03,27.4,52.95,35.59,114.5
29.08.03,30.5,51.5,33.443,107.25
30.09.03,30.45,51.1,32.801,109.5
31.10.03,29.4,50.9,36.298,110.5
28.11.03,30.05,54.6,36.851,116.5
31.12.03,30.9,56.15,37.493,124.75
30.01.04,33.2,56.65,39.95,127.5
27.02.04,33.5,55.95,41.3,131
31.03.04,32.3,53.8,41.654,123.75
30.04.04,32.8,57.8,40.791,136
31.05.04,32.6,56.2,39.795,132
30.06.04,33.4,55.25,39.065,124
30.07.04,32.7,57.25,37.891,126.5
31.08.04,29.95,58.55,37.582,122.75
30.09.04,28.6,58.2,38.91,129
29.10.04,28.325,57.1,38.201,122.4
30.11.04,29.25,54.6,40.769,120
31.12.04,29.75,57.3,42.207,130.9
31.01.05,31.2,57,42.694,126.6
28.02.05,32.25,58.25,44.664,122.5
31.03.05,32.725,55.8,44.708,128.2
29.04.05,31.3,57.9,42.141,143.6
31.05.05,32.85,60.95,42.606,157.4
30.06.05,32.8,61.05,44.266,162.2
29.07.05,35.35,62.7,46.877,175.2
31.08.05,35.2,60.8,45.417,173.2
30.09.05,37.9,65.65,48.692,179.8
31.10.05,38.4,69.35,48.471,192.6
30.11.05,39,68.85,53.694,197.6
30.12.05,39.3,69.05,55.376,197.3
31.01.06,37.5,70.2,61.529,202
28.02.06,38.575,70.6,61.662,193.9
